fpr,tpr,threshold
2.649033821385300778e-03,3.599999999999999867e-01,9.019091067813370666e-01
2.649033821385300778e-03,3.608999999999999986e-01,9.018642907313997314e-01
2.669568967287512442e-03,3.608999999999999986e-01,9.018638175260254020e-01
2.669568967287512442e-03,3.625999999999999779e-01,9.017616789804283606e-01
2.690104113189724106e-03,3.625999999999999779e-01,9.017616385959826841e-01
2.690104113189724106e-03,3.628799999999999804e-01,9.017498648790190918e-01
2.710639259091935770e-03,3.628799999999999804e-01,9.017482480581383575e-01
2.710639259091935770e-03,3.630800000000000138e-01,9.017408633085076675e-01
2.731174404994147435e-03,3.630800000000000138e-01,9.017398904681965810e-01
2.731174404994147435e-03,3.634200000000000208e-01,9.017237042349101062e-01
2.751709550896359099e-03,3.634200000000000208e-01,9.017233470667040951e-01
2.751709550896359099e-03,3.634399999999999853e-01,9.017221740786091067e-01
2.772244696798570763e-03,3.634399999999999853e-01,9.017218565008159326e-01
2.772244696798570763e-03,3.645599999999999952e-01,9.016580523648328738e-01
2.792779842700782427e-03,3.645599999999999952e-01,9.016569745025477811e-01
2.792779842700782427e-03,3.659600000000000075e-01,9.015797748444183135e-01
2.813314988602994091e-03,3.659600000000000075e-01,9.015797605983550955e-01
2.813314988602994091e-03,3.661800000000000055e-01,9.015742593033195806e-01
2.833850134505205755e-03,3.661800000000000055e-01,9.015738984419991997e-01
2.833850134505205755e-03,3.662199999999999900e-01,9.015725495425143121e-01
2.854385280407417420e-03,3.662199999999999900e-01,9.015723951812514292e-01
2.854385280407417420e-03,3.666200000000000014e-01,9.015514334781405958e-01
2.874920426309629084e-03,3.666200000000000014e-01,9.015508439818070707e-01
2.874920426309629084e-03,3.670800000000000174e-01,9.015288292690479821e-01
2.895455572211840748e-03,3.670800000000000174e-01,9.015288108711421167e-01
2.895455572211840748e-03,3.673000000000000154e-01,9.015132550536106848e-01
2.915990718114052412e-03,3.673000000000000154e-01,9.015101637025136894e-01
2.915990718114052412e-03,3.677000000000000268e-01,9.014847512804105012e-01
2.936525864016263643e-03,3.677000000000000268e-01,9.014840064139373332e-01
2.936525864016263643e-03,3.681400000000000228e-01,9.014572942109213560e-01
2.957061009918475307e-03,3.681400000000000228e-01,9.014514489135242448e-01
2.957061009918475307e-03,3.692599999999999771e-01,9.013933009376814409e-01
2.977596155820686971e-03,3.692599999999999771e-01,9.013916349875421563e-01
2.977596155820686971e-03,3.696599999999999886e-01,9.013689639233533057e-01
2.998131301722898635e-03,3.696599999999999886e-01,9.013680565530706179e-01
2.998131301722898635e-03,3.735200000000000187e-01,9.011770099181359850e-01
3.018666447625110300e-03,3.735200000000000187e-01,9.011763264527564710e-01
3.018666447625110300e-03,3.736999999999999766e-01,9.011632738442387769e-01
3.039201593527321964e-03,3.736999999999999766e-01,9.011630174595268716e-01
3.039201593527321964e-03,3.737199999999999966e-01,9.011609843952599341e-01
3.059736739429533628e-03,3.737199999999999966e-01,9.011608218287470162e-01
3.059736739429533628e-03,3.737599999999999811e-01,9.011580708073093637e-01
3.080271885331745292e-03,3.737599999999999811e-01,9.011578767001096057e-01
3.080271885331745292e-03,3.740600000000000036e-01,9.011314540073278589e-01
3.121342177136168620e-03,3.740600000000000036e-01,9.011265886985123652e-01
3.121342177136168620e-03,3.749000000000000110e-01,9.010731864848502415e-01
3.141877323038380285e-03,3.749000000000000110e-01,9.010717133556080949e-01
3.141877323038380285e-03,3.749600000000000155e-01,9.010685521122064889e-01
3.162412468940591949e-03,3.749600000000000155e-01,9.010674288009823396e-01
